mango2, /home/hong/slowfast
config files: ['configs/contrastive_ssl/custom_BYOL_SlowR50_8x8.yaml']
num gpus: 1
[03/29 20:39:37][INFO] memchecker.py:   95: MemCheck
[03/29 20:39:37][INFO] kinetics.py:  117: Constructing Kinetics train...
--------------->>>>>
/home/hong/slowfast/index_files/train.csv
[03/29 20:39:37][INFO] kinetics.py:  174: Constructing kinetics dataloader (size: 1998 skip_rows 0) from /home/hong/slowfast/index_files/train.csv 
[03/29 20:39:37][INFO] kinetics.py:  193: init workers
init done
[03/29 20:39:37][INFO] memchecker.py:  102: Memory check model for 1998 iterations
iter0, time differene: 4.737595319747925
iter1, time differene: 0.029892921447753906
iter2, time differene: 0.0006339550018310547
iter3, time differene: 0.0011129379272460938
iter4, time differene: 0.005753755569458008
iter5, time differene: 0.006504058837890625
iter6, time differene: 0.0005030632019042969
iter7, time differene: 0.48841071128845215
iter8, time differene: 0.0005812644958496094
iter9, time differene: 0.4120051860809326
iter10, time differene: 0.0005006790161132812
iter11, time differene: 0.00040268898010253906
iter12, time differene: 0.0003485679626464844
iter13, time differene: 0.0003337860107421875
iter14, time differene: 0.0004532337188720703
iter15, time differene: 0.0003211498260498047
iter16, time differene: 0.0003826618194580078
iter17, time differene: 0.00042438507080078125
iter18, time differene: 0.0004000663757324219
iter19, time differene: 0.0296170711517334
iter20, time differene: 0.0007119178771972656
iter21, time differene: 0.0008318424224853516
iter22, time differene: 0.0008122920989990234
iter23, time differene: 0.0006313323974609375
iter24, time differene: 0.000701904296875
iter25, time differene: 0.00048351287841796875
iter26, time differene: 0.000461578369140625
iter27, time differene: 0.0006411075592041016
iter28, time differene: 0.00034999847412109375
iter29, time differene: 0.03637862205505371
iter30, time differene: 0.0005993843078613281
iter31, time differene: 0.0005977153778076172
iter32, time differene: 0.0006160736083984375
iter33, time differene: 0.0004382133483886719
iter34, time differene: 0.0005125999450683594
iter35, time differene: 0.0005781650543212891
iter36, time differene: 0.0005905628204345703
iter37, time differene: 0.0003914833068847656
iter38, time differene: 0.0009074211120605469
iter39, time differene: 0.032591819763183594
iter40, time differene: 0.0005292892456054688
iter41, time differene: 0.0005507469177246094
iter42, time differene: 0.00036334991455078125
iter43, time differene: 0.0003712177276611328
iter44, time differene: 0.0004911422729492188
iter45, time differene: 0.0004024505615234375
iter46, time differene: 0.00040340423583984375
iter47, time differene: 0.00031065940856933594
iter48, time differene: 0.0004010200500488281
iter49, time differene: 0.02379131317138672
iter50, time differene: 0.000728607177734375
iter51, time differene: 0.0078051090240478516
iter52, time differene: 0.0004947185516357422
iter53, time differene: 0.0006399154663085938
iter54, time differene: 0.002692699432373047
iter55, time differene: 0.0005335807800292969
iter56, time differene: 0.0052568912506103516
iter57, time differene: 0.00033283233642578125
iter58, time differene: 0.0008320808410644531
iter59, time differene: 0.016474008560180664
iter60, time differene: 0.0006151199340820312
iter61, time differene: 0.013859987258911133
iter62, time differene: 0.001573324203491211
iter63, time differene: 0.0006759166717529297
iter64, time differene: 0.0027828216552734375
iter65, time differene: 0.0005393028259277344
iter66, time differene: 0.002702474594116211
iter67, time differene: 0.00036215782165527344
iter68, time differene: 0.005270481109619141
iter69, time differene: 0.009612083435058594
iter70, time differene: 0.0004169940948486328
iter71, time differene: 0.015705585479736328
iter72, time differene: 0.00044274330139160156
iter73, time differene: 0.0004248619079589844
iter74, time differene: 0.002954244613647461
iter75, time differene: 0.0003695487976074219
iter76, time differene: 0.0002722740173339844
iter77, time differene: 0.0025815963745117188
iter78, time differene: 0.0032720565795898438
iter79, time differene: 0.008046865463256836
iter80, time differene: 0.0004489421844482422
iter81, time differene: 0.013854742050170898
iter82, time differene: 0.007363557815551758
iter83, time differene: 0.0003628730773925781
iter84, time differene: 0.0029137134552001953
iter85, time differene: 0.00041675567626953125
iter86, time differene: 0.00038242340087890625
iter87, time differene: 0.000453948974609375
iter88, time differene: 0.002292156219482422
iter89, time differene: 0.0028696060180664062
iter90, time differene: 0.005819797515869141
iter91, time differene: 0.016553878784179688
iter92, time differene: 0.0005555152893066406
iter93, time differene: 0.0005211830139160156
iter94, time differene: 0.0004286766052246094
iter95, time differene: 0.00046515464782714844
iter96, time differene: 0.0031888484954833984
iter97, time differene: 0.0004558563232421875
iter98, time differene: 0.002401113510131836
iter99, time differene: 0.0034754276275634766
iter100, time differene: 0.0032486915588378906
iter101, time differene: 0.0036554336547851562
iter102, time differene: 0.0038280487060546875
iter103, time differene: 0.005152463912963867
iter104, time differene: 0.005526542663574219
iter105, time differene: 0.0003559589385986328
iter106, time differene: 0.013860702514648438
iter107, time differene: 0.0003108978271484375
iter108, time differene: 0.00042366981506347656
iter109, time differene: 0.0004181861877441406
iter110, time differene: 0.0027251243591308594
iter111, time differene: 0.018880367279052734
iter112, time differene: 0.00041794776916503906
iter113, time differene: 0.0004343986511230469
iter114, time differene: 0.0003139972686767578
iter115, time differene: 0.0004284381866455078
iter116, time differene: 0.0054509639739990234
iter117, time differene: 0.00025773048400878906
iter118, time differene: 0.002603769302368164
iter119, time differene: 0.0002849102020263672
iter120, time differene: 0.013030290603637695
iter121, time differene: 0.012849807739257812
iter122, time differene: 0.0005078315734863281
iter123, time differene: 0.0006451606750488281
iter124, time differene: 0.0004923343658447266
iter125, time differene: 0.00032520294189453125
iter126, time differene: 0.00682520866394043
iter127, time differene: 0.0004150867462158203
iter128, time differene: 0.0002415180206298828
iter129, time differene: 0.006848573684692383
iter130, time differene: 0.0003943443298339844
iter131, time differene: 0.008944272994995117
iter132, time differene: 0.009890317916870117
iter133, time differene: 0.00044798851013183594
iter134, time differene: 0.006219625473022461
iter135, time differene: 0.0004975795745849609
iter136, time differene: 0.0032427310943603516
iter137, time differene: 0.0005414485931396484
iter138, time differene: 0.0029828548431396484
iter139, time differene: 0.0006003379821777344
iter140, time differene: 0.0028929710388183594
iter141, time differene: 0.008435487747192383
iter142, time differene: 0.0032949447631835938
iter143, time differene: 0.00040078163146972656
iter144, time differene: 0.0061986446380615234
iter145, time differene: 0.0004184246063232422
