Running for 1000.0 seconds (1000 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1
17:32:40  19.8   0.0   4.8  75.4   0.0   12   1973   5271   88    7   29  89.89    7.84  26.86   3.40  63.03
17:32:41  20.6   0.0   4.3  75.1   0.0   11  11102  10434  158   14  130  89.93    7.51  27.38   3.42  62.55
17:32:42  21.0   0.0   3.3  75.7   0.0   11   5486   6668  162    7  133  88.35    7.48  27.06   3.40  61.30
17:32:43  21.2   0.0   3.0  75.7   0.0   11   2074   5279  135   14   68  89.14    7.53  26.73   3.40  62.41
17:32:44  20.5   0.0   3.4  76.1   0.0   11   2246   5213  138    7   73  88.49    7.48  26.69   3.39  61.81
17:32:45  19.4   0.0   5.1  75.5   0.0   11   2182   5354   91    3   99  89.94    7.86  26.73   3.39  63.21
17:32:46  22.4   0.0   2.7  75.0   0.0   12  11130  10003  197    4  100  89.52    7.40  27.10   3.41  62.43
17:32:47  20.8   0.0   3.5  75.8   0.0   11   6548   7089  194    5  101  88.48    7.34  27.05   3.40  61.43
17:32:48  21.7   0.0   2.7  75.6   0.0   11   1978   5143  124    2   61  89.32    7.45  26.63   3.38  62.69
17:32:49  20.4   0.0   4.7  74.9   0.0   11   2424   5889   82   22  128  91.07    7.88  26.98   3.40  64.09
17:32:50  20.4   0.0   4.0  75.6   0.0   11   2384   5621  174   17   69  89.04    7.50  26.83   3.39  62.21
17:32:51  19.9   0.0   5.1  74.9   0.0   11  10351   9951  123    3  123  89.59    7.59  27.13   3.40  62.46
17:32:52  21.1   0.0   3.7  75.2   0.0   11   4775   6347  162    6  126  89.41    7.62  27.15   3.42  62.26
17:32:53  21.2   0.0   3.1  75.7   0.0   11   2096   5127  120    3   63  88.99    7.61  26.64   3.39  62.35
17:32:54  20.3   0.0   4.4  75.3   0.0   11   2047   5520  132   24   69  90.53    7.84  26.91   3.40  63.63
17:32:55  21.4   0.0   3.0  75.6   0.0   12   2585   5549  195   17  117  90.24    7.68  26.80   3.39  63.44
17:32:56  22.2   0.0   3.2  74.5   0.0   11  10960   9924  116    3   93  90.52    7.77  27.19   3.41  63.34
17:32:57  19.3   0.0   5.2  75.4   0.0   12   5896   6752  133    6   54  89.36    7.96  27.27   3.41  62.09
17:32:58  20.1   0.0   4.1  75.8   0.0   11   2404   5236  130    3   99  88.92    7.79  26.74   3.39  62.18
17:32:59  21.3   0.0   3.1  75.6   0.0   11   2124   5216  131    3   75  87.58    7.63  26.86   3.40  60.72
17:33:00  21.8   0.0   2.6  75.6   0.0   11   2057   5238  130    3  111  90.12    7.72  26.67   3.39  63.45
17:33:01  21.6   0.0   3.5  74.9   0.0   11  10921   9835  116    3   82  91.49    7.67  27.13   3.40  64.36
17:33:02  21.7   0.0   3.1  75.2   0.0   11   3007   5516  159    6   78  90.18    7.67  27.10   3.40  63.08
17:33:03  19.9   0.0   4.1  76.0   0.0   11   2353   5283  144    3  132  88.45    7.69  26.71   3.39  61.74
17:33:04  20.9   0.0   3.3  75.7   0.0   12   2176   5113  127    6   78  88.27    7.59  26.78   3.40  61.50
17:33:05  20.6   0.0   4.1  75.4   0.0   11   1949   5020   87    3   51  89.35    7.69  26.70   3.39  62.65
17:33:06  20.0   0.0   4.8  75.2   0.0   11  11434  10270  200    3  129  89.01    7.60  27.52   3.41  61.49
17:33:07  22.1   0.0   2.7  75.2   0.0   11   5343   6672  130    6   66  89.83    7.49  27.15   3.41  62.68
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1
17:33:08  20.0   0.0   4.3  75.7   0.0   11   2182   5113  136    3   75  89.15    7.63  26.79   3.39  62.36
17:33:09  20.2   0.0   4.7  75.2   0.0   12   2084   5148   94    3   72  89.92    7.79  26.96   3.39  62.96
17:33:10  20.8   0.0   3.4  75.8   0.0   11   2272   5292  125    3  143  89.24    7.60  26.79   3.39  62.45
17:33:11  20.6   0.0   3.9  75.5   0.0   11  10979  10010  139    3   51  88.42    7.59  27.13   3.40  61.29
17:33:12  20.9   0.0   3.9  75.3   0.0   11   4436   6004   94    6   78  90.03    7.43  27.10   3.40  62.93
17:33:13  20.9   0.0   3.3  75.8   0.0   11   2390   5219  143    3   75  88.39    7.23  27.00   3.39  61.39
17:33:14  20.9   0.0   3.4  75.7   0.0   11   1919   4951  123    3   51  88.98    7.74  26.79   3.39  62.19
17:33:15  20.4   0.0   4.3  75.3   0.0   11   2147   5423   99    3   75  90.11    7.83  26.86   3.39  63.26
17:33:16  20.4   0.0   4.5  75.1   0.0   11  12067  10596  205    3  147  89.04    7.71  27.47   3.41  61.57
17:33:17  21.7   0.0   2.8  75.5   0.0   11   4391   6338  150    6   90  89.85    7.45  27.21   3.40  62.64
17:33:18  21.2   0.0   3.6  75.3   0.0   11   1993   5062   75    3   61  90.31    7.58  26.71   3.38  63.60
17:33:19  19.9   0.0   4.3  75.8   0.0   12   1927   5171  119    4   64  89.30    7.71  26.85   3.39  62.46
17:33:20  21.1   0.0   3.2  75.8   0.0   11   2546   5212  176    3  135  89.46    7.62  27.07   3.39  62.39
17:33:21  21.6   0.0   3.4  75.0   0.0   11  11153  10215  159    3   63  89.91    7.77  27.25   3.40  62.66
17:33:22  20.8   0.0   3.6  75.5   0.0   11   4513   6304  134    6  126  89.99    7.69  27.20   3.39  62.79
17:33:23  21.9   0.0   2.4  75.7   0.0   11   2185   5100  136    3   63  89.59    7.48  26.71   3.39  62.88
17:33:24  20.5   0.0   3.8  75.6   0.0   11   2348   5346  146    3   75  88.66    7.31  27.05   3.39  61.61
17:33:25  19.9   0.0   4.1  76.0   0.0   12   2358   5552  163    3  111  87.95    7.58  26.82   3.40  61.13
17:33:26  20.4   0.0   4.9  74.7   0.0   11  10189   9569   71    3  107  91.02    7.76  27.17   3.40  63.85
17:33:27  20.6   0.0   4.0  75.3   0.0   11   5088   6632  142    6   18  89.48    7.31  27.55   3.41  61.94
17:33:28  20.9   0.0   3.9  75.2   0.0   13   1712   5129   88    3   51  90.72    7.64  26.82   3.39  63.90
17:33:29  18.4   0.0   5.7  75.9   0.0   11   2527   5388  150    3   96  88.56    8.00  26.91   3.40  61.64
17:33:30  21.3   0.0   3.5  75.2   0.0   11   2935   5268  146    3  144  89.95    7.77  26.86   3.39  63.09
17:33:31  21.6   0.0   3.6  74.8   0.0   13  11109   9890  116    3   72  90.72    7.61  27.45   3.41  63.26
17:33:32  20.9   0.0   4.0  75.2   0.0   11   6088   6851  179    7   91  88.13    7.36  27.32   3.41  60.82
17:33:33  21.7   0.0   4.1  74.3   0.0   23   5877   5391   78    3   63  90.33    7.55  26.84   3.39  63.48
17:33:34  20.6   0.0   7.6  71.7   0.0   23 1970290   7179  122   24   78  92.51    6.80  26.91   3.39  65.60
17:33:35  20.4   0.0   8.2  71.5   0.0   23 2426582   5772  150   17  138  92.43    7.08  27.23   3.40  65.20
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1
17:33:36  22.3   0.0   3.3  74.3   0.0   12 547921  10191  113    3   51  91.52    7.39  27.17   3.41  64.35
17:33:37  21.7   0.0   6.2  72.1   0.0   23 1631133   6437  114    6   66  92.72    7.00  27.15   3.39  65.57
